date,state,sentiment
20200614,AZ,-0.11315
20200615,AZ,0.3848
20200616,AZ,0.016625
20200617,AZ,0.386923077
20200618,AZ,0.199847619
20200619,AZ,0.39998
20200620,AZ,0.27273
20200621,AZ,0.21354
20200622,AZ,0.31305
20200623,AZ,0.454766667
20200624,AZ,0.600342857
20200625,AZ,0.246290909
20200626,AZ,0.1973
20200627,AZ,0.223809091
20200628,AZ,0.495955556
20200629,AZ,0.071788889
20200630,AZ,0.5352
20200701,AZ,0.414678571
20200702,AZ,0.3573
20200703,AZ,0.277166667
20200704,AZ,0.578423077
20200705,AZ,0.671985714
20200706,AZ,0.334825
20200707,AZ,0.46085
20200708,AZ,0.58915
20200709,AZ,0.431757143
20200710,AZ,0.393607143
20200711,AZ,0.139833333
20200712,AZ,0.419633333
20200713,AZ,0.364269231
20200714,AZ,0.2293
20200715,AZ,0.11445
20200716,AZ,0.1438
20200717,AZ,0.2550375
20200718,AZ,0.341953846
20200719,AZ,0.277866667
20200720,AZ,-0.003166667
20200721,AZ,0.30068
20200722,AZ,0.200933333
20200723,AZ,0.797483333
20200724,AZ,0.76604
20200725,AZ,0.4421125
20200726,AZ,0.343066667
20200727,AZ,0.209283333
20200728,AZ,0.458463636
20200729,AZ,0.295175
20200730,AZ,0.056664286
20200731,AZ,0.517372727
20200801,AZ,0.4505
20200802,AZ,0.488475
20200803,AZ,0.099954545
20200804,AZ,0.419611111
20200805,AZ,0.30925
20200806,AZ,0.187733333
20200807,AZ,0.3181375
20200808,AZ,0.363475
20200809,AZ,0.634742857
20200810,AZ,0.54546
20200811,AZ,0.405377778
20200812,AZ,0.462446154
20200813,AZ,0.3378375
20200814,AZ,0.225542857
20200815,AZ,0.380677778
20200816,AZ,0.3608
20200817,AZ,0.242145455
20200818,AZ,0.185661538
20200819,AZ,0.229571429
20200820,AZ,0.2406
20200821,AZ,0.1835
20200822,AZ,0.509141667
20200823,AZ,0.253041667
20200824,AZ,0.5161
20200825,AZ,0.134208333
20200826,AZ,0.09934
20200827,AZ,0.149027273
20200828,AZ,0.174828571
20200829,AZ,0.361966667
20200830,AZ,0.581266667
20200831,AZ,0.5131
20200901,AZ,0.240508333
20200902,AZ,0.363666667
20200903,AZ,0.401883333
20200904,AZ,0.299855556
20200905,AZ,0.1079
20200906,AZ,0.376018182
20200907,AZ,0.555721429
20200908,AZ,0.3847
20200909,AZ,0.338707143
20200910,AZ,0.405666667
20200911,AZ,0.539633333
20200912,AZ,0.38572
20200913,AZ,-0.04786
20200914,AZ,0.5106
20200915,AZ,0.61415
20200916,AZ,0.59005
20200917,AZ,0.45624
20200918,AZ,0.363333333
20200919,AZ,0.131775
20200920,AZ,0.65662
20200921,AZ,0.4244
20200922,AZ,0.78645
20200923,AZ,0.459833333
20200924,AZ,0.17436
20200925,AZ,0.228357143
20200926,AZ,0
20200927,AZ,0
20200928,AZ,0.2017
20200929,AZ,0.426075
20200930,AZ,0.3831375
20201001,AZ,0.426866667
